Quantity,OrderDate,ProductID
40,1996-07-09,20
40,1996-07-10,49
35,1996-07-12,16
25,1996-07-16,27
10,1996-07-18,21
20,1996-07-19,21
15,1996-07-19,62
60,1996-07-23,16
6,1996-08-02,20
12,1996-08-09,62
1,1996-08-14,19
18,1996-08-16,19
15,1996-08-19,27
40,1996-08-21,62
40,1996-08-22,16
3,1996-08-23,68
15,1996-08-27,49
20,1996-08-28,20
30,1996-09-03,16
15,1996-09-05,62
15,1996-09-06,19
20,1996-09-09,68
15,1996-09-11,68
30,1996-09-12,49
10,1996-09-17,62
3,1996-09-17,68
10,1996-09-20,16
5,1996-09-20,62
25,1996-09-25,62
70,1996-09-27,62
4,1996-10-07,25
21,1996-10-08,16
10,1996-10-14,68
10,1996-10-15,19
50,1996-10-16,26
16,1996-10-17,47
10,1996-10-18,21
10,1996-10-21,68
24,1996-10-24,26
28,1996-10-28,62
4,1996-10-31,68
80,1996-11-04,19
10,1996-11-06,25
15,1996-11-11,50
16,1996-11-19,26
56,1996-11-21,16
35,1996-11-22,49
50,1996-11-25,25
5,1996-11-29,21
12,1996-12-04,20
28,1996-12-16,20
15,1996-12-16,50
8,1996-12-17,68
20,1996-12-20,62
7,1996-12-25,25
70,1996-12-25,26
10,1996-12-25,62
10,1996-12-27,21
60,1996-12-31,68
30,1997-01-01,49
21,1997-01-03,16
30,1997-01-03,26
70,1997-01-03,48
30,1997-01-03,49
30,1997-01-07,21
35,1997-01-08,62
12,1997-01-09,21
18,1997-01-14,19
40,1997-01-14,62
20,1997-01-16,19
36,1997-01-16,68
55,1997-01-17,47
4,1997-01-21,19
30,1997-01-21,26
2,1997-01-22,26
30,1997-01-23,68
40,1997-01-29,50
50,1997-01-30,21
30,1997-01-30,47
10,1997-01-31,26
15,1997-02-06,19
16,1997-02-07,16
49,1997-02-10,16
50,1997-02-10,27
15,1997-02-12,26
52,1997-02-14,19
6,1997-02-17,26
35,1997-02-18,62
20,1997-02-21,16
15,1997-02-21,48
40,1997-02-25,21
21,1997-02-25,49
30,1997-02-26,26
40,1997-02-28,21
21,1997-02-28,68
21,1997-03-04,19
25,1997-03-05,50
12,1997-03-06,25
35,1997-03-10,16
21,1997-03-17,21
30,1997-03-20,47
24,1997-03-20,49
14,1997-03-24,21
5,1997-03-26,19
30,1997-03-26,26
18,1997-03-28,16
30,1997-03-31,68
60,1997-04-01,25
25,1997-04-08,49
12,1997-04-11,21
3,1997-04-14,62
18,1997-04-15,25
15,1997-04-15,48
6,1997-04-21,47
39,1997-04-22,20
40,1997-04-22,21
50,1997-04-23,16
120,1997-04-23,27
6,1997-04-29,68
15,1997-05-01,20
20,1997-05-07,68
15,1997-05-16,21
6,1997-05-16,49
40,1997-05-19,26
35,1997-05-19,68
40,1997-05-23,62
40,1997-05-28,16
10,1997-05-28,19
6,1997-05-28,21
44,1997-05-30,16
20,1997-05-30,62
35,1997-06-02,19
25,1997-06-04,47
15,1997-06-06,62
10,1997-06-09,62
12,1997-06-18,16
10,1997-06-19,62
15,1997-07-01,47
6,1997-07-02,26
5,1997-07-08,26
21,1997-07-09,20
50,1997-07-14,27
10,1997-07-15,62
6,1997-07-18,48
25,1997-07-18,49
30,1997-07-21,16
10,1997-07-22,62
6,1997-07-24,21
18,1997-07-28,49
8,1997-07-29,21
15,1997-08-01,68
42,1997-08-04,21
5,1997-08-05,19
18,1997-08-06,68
15,1997-08-07,19
25,1997-08-07,21
15,1997-08-11,62
35,1997-08-15,26
80,1997-08-15,62
25,1997-08-19,50
30,1997-08-22,21
30,1997-08-27,19
12,1997-09-01,19
30,1997-09-02,16
16,1997-09-04,47
60,1997-09-05,21
21,1997-09-08,20
10,1997-09-09,68
10,1997-09-17,16
10,1997-09-17,62
3,1997-09-18,16
7,1997-09-22,19
30,1997-09-22,26
50,1997-09-24,16
30,1997-09-25,19
12,1997-09-25,21
40,1997-09-26,47
15,1997-09-29,47
