Quantity,OrderDate
27,1996-07-04
49,1996-07-05
101,1996-07-08
65,1996-07-09
62,1996-07-10
57,1996-07-11
75,1996-07-12
27,1996-07-15
21,1996-07-16
121,1996-07-17
1,1996-07-18
107,1996-07-19
29,1996-07-22
124,1996-07-23
60,1996-07-24
50,1996-07-25
12,1996-07-26
135,1996-07-29
14,1996-07-30
80,1996-07-31
79,1996-08-01
64,1996-08-02
152,1996-08-05
27,1996-08-06
18,1996-08-07
25,1996-08-08
20,1996-08-09
64,1996-08-12
15,1996-08-13
72,1996-08-14
8,1996-08-15
58,1996-08-16
46,1996-08-19
121,1996-08-20
100,1996-08-21
35,1996-08-22
10,1996-08-23
39,1996-08-26
91,1996-08-27
33,1996-08-29
75,1996-08-30
4,1996-09-02
27,1996-09-03
80,1996-09-04
110,1996-09-05
20,1996-09-06
60,1996-09-09
80,1996-09-10
70,1996-09-11
12,1996-09-12
80,1996-09-13
25,1996-09-16
6,1996-09-18
75,1996-09-19
13,1996-09-20
58,1996-09-23
12,1996-09-24
70,1996-09-25
44,1996-09-26
10,1996-09-27
20,1996-09-30
26,1996-10-01
52,1996-10-02
40,1996-10-03
20,1996-10-04
9,1996-10-07
220,1996-10-08
71,1996-10-09
90,1996-10-10
140,1996-10-11
49,1996-10-14
40,1996-10-15
40,1996-10-16
50,1996-10-17
50,1996-10-18
8,1996-10-21
86,1996-10-22
18,1996-10-23
113,1996-10-24
35,1996-10-25
80,1996-10-28
89,1996-10-29
160,1996-10-30
65,1996-10-31
105,1996-11-01
79,1996-11-04
56,1996-11-05
60,1996-11-06
40,1996-11-07
24,1996-11-08
138,1996-11-11
30,1996-11-12
62,1996-11-13
16,1996-11-14
50,1996-11-15
62,1996-11-18
38,1996-11-19
40,1996-11-20
150,1996-11-21
212,1996-11-22
44,1996-11-25
79,1996-11-26
24,1996-11-27
86,1996-11-28
73,1996-11-29
38,1996-12-02
71,1996-12-03
152,1996-12-04
175,1996-12-05
25,1996-12-06
82,1996-12-09
6,1996-12-10
44,1996-12-11
88,1996-12-12
165,1996-12-13
55,1996-12-16
30,1996-12-17
73,1996-12-18
75,1996-12-19
61,1996-12-20
187,1996-12-23
50,1996-12-24
109,1996-12-25
106,1996-12-26
139,1996-12-27
150,1996-12-30
79,1996-12-31
224,1997-01-01
125,1997-01-02
40,1997-01-03
50,1997-01-06
119,1997-01-07
16,1997-01-08
12,1997-01-09
139,1997-01-10
20,1997-01-13
88,1997-01-14
22,1997-01-15
117,1997-01-16
91,1997-01-17
80,1997-01-20
75,1997-01-21
143,1997-01-23
30,1997-01-24
47,1997-01-27
20,1997-01-28
35,1997-01-29
245,1997-01-30
40,1997-01-31
52,1997-02-03
32,1997-02-04
114,1997-02-05
35,1997-02-06
51,1997-02-07
159,1997-02-10
170,1997-02-11
66,1997-02-12
21,1997-02-13
75,1997-02-14
20,1997-02-17
34,1997-02-18
264,1997-02-19
115,1997-02-20
55,1997-02-21
125,1997-02-24
36,1997-02-25
115,1997-02-26
76,1997-02-27
92,1997-02-28
22,1997-03-03
119,1997-03-04
93,1997-03-05
43,1997-03-06
23,1997-03-07
42,1997-03-10
103,1997-03-11
98,1997-03-12
85,1997-03-13
137,1997-03-14
49,1997-03-17
20,1997-03-18
148,1997-03-19
52,1997-03-20
10,1997-03-21
78,1997-03-24
130,1997-03-25
70,1997-03-26
50,1997-03-27
15,1997-03-28
118,1997-03-31
20,1997-04-01
